공원,섹터,대표제목,보도건수,언론사수,언론사목록,최초보도일,최종보도일,대표링크
설악산,구조활동,설악산서 암벽등반 중 3m 아래 추락 50대 헬기 이송,17,14,JTBC · ecojournal.co.kr · gukjenews.com · twig24.com · v.daum.net · 강원도민일보 · 네이트 · 뉴닉 · 뉴스핌 · 동아일보,2025-06-19,2026-08-01,https://news.google.com/rss/articles/CBMidkFVX3lxTE1OcWQ0QXJRVjBxVW8wOGNZQ0VRWEtnUk5Kci0wWUdpbThfS0VaRDc1eFZSWUVlQThVYUtzbHItQ3BuRUV2MF9CZWJ4bGpDemNDUWZyU2wxWGdtV1drOGFDMDdpS2R3NWhIc0tZRUswSHZEcHVnNVHSAWZBVV95cUxNaGM2UmlsdHNXZi1aZ2k2QTJaWklpZ3pPOEJBRHVvNG1DckdtQS1Jd2JmN29BZDNfZzdraEc2Zmd4UEtNNlBIRExIWWUzOE1yOFBUNHVuajFtbGFCWVQ5TWgyVTFPZHc?oc=5
(전체·공통),기타,국립공원 22개 섬 해양쓰레기 집중관리…주민 참여로 여름철 대응 강화,14,14,ecojournal.co.kr · v.daum.net · 뉴스1 · 산경e뉴스 · 서울뉴스통신 · 세종충청뉴스 · 에너지데일리 · 에코타임스 · 워터저널 · 전기신문,2024-04-15,2026-08-07,https://news.google.com/rss/articles/CBMiY0FVX3lxTE02WjY4ZlR1VVBhWnVnSHA0QWVVZTdJMTlPUWZtX2hmdXc3ZERxSmlSX0dTSGJOeXlCNlpIZll1enNtVThrOE5VSjg5cC0zRW52RUVHd0VHNHFjQVkwdW8xdkV0WQ?oc=5
한려해상,자원보전,한려해상 국립공원사무소 여름철 불법행위 단속,12,12,KBS 뉴스 · csynews.com · seobunews.com · v.daum.net · 강원신문 · 매일일보 · 모빅경제 · 부안독립신문 · 브런치 · 투데이충남,2024-12-03,2026-08-07,https://news.google.com/rss/articles/CBMiW0FVX3lxTE0wb1FzZk91WDRWcFZtUGQ0bUNlSl9OdkZrd0Z4dlpXMTc0bWtlR0J6S1pvSV9PS0xzNFRPX09aOXhIX1NtQVpmLVR2SGgxU1FwYVRURE1wSjV6Y2s?oc=5
북한산,기타,"북한산국립공원, 「북한산 글로벌 레인저스」 본격 운영",12,11,OhmyNews · boannews.com · ecojournal.co.kr · 국토일보 · 네이트 · 동북일보 · 브레이크뉴스 · 시사투데이 · 이미디어 · 일요서울i,2019-05-12,2026-08-17,https://news.google.com/rss/articles/CBMib0FVX3lxTE1sQlFxZld3aUd6dzY4VDNIMkVNMEdRT3d4cC0teGw4LW5ucHJTSDVsRmczeXVhZUFMM19WWUktVWljNk5JODVsNFF0bmRJU2dHeXBlaTRwbmV5a1JSYWpaVUlKY19haGlXT3hkZUMwQQ?oc=5
(전체·공통),기타,국립공원 안전장비 무료 대여,12,11,2news.co.kr · DWBNEWS · v.daum.net · 교통뉴스 · 뉴시스 · 서울Pn · 시사일보 · 워터저널 · 의학신문 · 헤럴드경제,2023-08-03,2026-05-29,https://news.google.com/rss/articles/CBMiaEFVX3lxTE16Z1lDTmJiblpYV29qVVlLT1VYTkx3OFNqRldyeUVBcUdmdTNiVVBTajVyZktmTDQ5VDR1dXZ6eVk3eWVhTUxxX3hSTzZPT3Nqb0JyS3FycHZ0c3I5YlVGTjRCN2VPOEhh?oc=5
지리산,기타,[사진뉴스] 지리산 여름 야생화,11,11,LG헬로비전 · gukjenews.com · idomin.com · 경남도민신문 · 경남일보 · 더팩트 · 디트NEWS24 · 로컬세계 · 아시아경제 · 웹이코노미,2024-02-20,2026-08-13,https://news.google.com/rss/articles/CBMiakFVX3lxTE5xc2VxTEgzbGU3SzJTSF9VNGFZSTQ3ZUFSSkhKU25PTEN3YTVucTlrYzVTTmVEU3pHLWZyU3dYM1hZSnNfa0g5R1dmeXlvbzVTcFJsQ0ZnTVVUeThyeFVGZHhZZGhtWkFoZGc?oc=5
한라산,기타,"""백록담 몰래 들어가 물 떠 마시고, 용변까지..."" '도 넘은' 한라산 등반객들 - 머니투데이",11,10,sedaily.com · v.daum.net · 경향신문 · 매일경제 · 머니투데이 · 미주중앙일보 · 제주뉴스 · 조세일보 · 한국일보 · 헤드라인제주,2026-07-15,2026-07-24,https://news.google.com/rss/articles/CBMia0FVX3lxTFA4WTJYSEhKX3ZKNEhSYXlZWWlkYVY4YXZyV2ZuUFdWbVhrMlc4el9PdWhVcDJsVW9aTXhRaGJ0aXNHVS14T2RDQnFyR1hqLVZwWHJaZWRQRU9meXl1eldaNXEwVjZiMEQ4UXJv0gFwQVVfeXFMTnVnNTZrR0dhb0NGRThTekF1Z1ZEODJLYlFFajFiX2xXYjE3TWNnNDZuai1LOG9Jc0xreng0S3lSY1ZUZ0lpSmw0SnZCZkxqenNFSDNSbE1BeldWU3puTGZPZklKcGtySmdYbmkzLXJacA?oc=5
덕유산,재난안전,무주 덕유산국립공원 불...3시간 만에 주불 진화,10,10,BBS불교방송 · KBS 뉴스 · YTN · dt.co.kr · news.sbs.co.kr · 네이트 · 뉴스홈(newshome) · 뉴시스 · 더코리아 · 연합뉴스,2026-03-27,2026-05-02,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1UUEphVTl4TjNkRXhlblY5XzRVajZCYVc3b0pXYzhmR1NhaGluZnhxOVV1UnJwbU9aM05CcEZCT2RlOXB0VVFKby1USDlUb2pJMkUzejR0M09oemVzVkE?oc=5
설악산,탐방시설,"[강원 고성 24시] 강원도 고성, 설악산 첫 탐방로 확정…50여년 만에 법정길 열려",10,10,강원도민일보 · 노컷뉴스 · 뉴시스 · 바끄로뉴스 · 시사저널 · 신아일보 · 연합뉴스 · 월간산 · 조선일보 · 한겨레,2016-11-19,2026-02-19,https://news.google.com/rss/articles/CBMib0FVX3lxTFBDTEdRcXhQSnp0aWdSMUNRdjVFWXd3MHdRYTlGcDloMlhROHBIM2tZY1kyLUktaWtQVG1KbUk5UTNtbzZPNUQwWnZPcFpoNXozSTFmTWZtRHFuZm15akk4QkljSlg4S1RCZEhlQlQ3a9IBc0FVX3lxTFA1SWZpTFNCWkJ1WmlmNWdOZXJaUElnMlVvYm9Ed210YkdVcWp2YVcxdTM1VHBEOGFkc0lkd3pvcWVHQjNKTVk2MmVRdEltZjhvNlYxZm1RdDNtZzNQakNRbGpadG8wMFpaTlpQSWNoNXJrSDQ?oc=5
설악산,기타,“설악산에 유리 다리?”…가짜 영상에 설악산도 당황,10,9,v.daum.net · 강원도민일보 · 강원일보 · 동아일보 · 연합뉴스 · 연합뉴스TV · 조선일보 · 중앙일보 · 한국경제,2026-01-20,2026-01-22,https://news.google.com/rss/articles/CBMiRkFVX3lxTE10c2psUE9oWkhOOG1wQ0dHTXZRVThtVEJwQWhCRHBVamttX0NTT2VRRUFoaDBJMDduSnUzb0RUQzYycXA4Wmc?oc=5
지리산,재난안전,"지리산국립공원전남사무소, 물놀이 사고 예방 총력...유관기관 합동 안전관리 강화",10,8,ecojournal.co.kr · 네이트 · 뉴스1 · 뉴시스 · 대한투데이 · 동북일보 · 헤럴드경제 미주판 · 환경법률신문,2026-07-07,2026-08-09,https://news.google.com/rss/articles/CBMiakFVX3lxTE11eGhpLXF1cE4wcGNGajBhOC1uVXVjV05xOWdPQWtjcjZ1UDRXQUpURHhZYm1wb3ZCU19iOV9TYXlDendqajN6VFlsT1BGNjZhSUo3ZjhLSHY4eU5Ga0FiaGFLSzM3dTVCRGc?oc=5
