분야,연도,순위,키워드,빈도,기사수,출현율(%)
구조활동,2026,1,초등생,463,1142,40.5
구조활동,2026,2,주왕산,449,1142,39.3
구조활동,2026,3,실종,418,1142,36.6
구조활동,2026,4,수색,141,1142,12.3
구조활동,2026,5,숨진,140,1142,12.3
구조활동,2026,6,발견,135,1142,11.8
구조활동,2026,7,청송,109,1142,9.5
구조활동,2026,8,사망,90,1142,7.9
구조활동,2026,9,주왕산서,85,1142,7.4
구조활동,2026,10,이틀째,80,1142,7.0
구조활동,2026,11,헬기,71,1142,6.2
구조활동,2026,12,손상,66,1142,5.8
구조활동,2026,13,만에,63,1142,5.5
구조활동,2026,14,구조,62,1142,5.4
구조활동,2026,15,설악산,61,1142,5.3
구조활동,2026,16,추락,61,1142,5.3
구조활동,2026,17,부검,57,1142,5.0
구조활동,2026,18,의한,56,1142,4.9
구조활동,2026,19,사흘째,56,1142,4.9
구조활동,2026,20,1차,54,1142,4.7
구조활동,2025,1,설악산,42,766,5.5
구조활동,2025,2,60대,41,766,5.4
구조활동,2025,3,합동,38,766,5.0
구조활동,2025,4,산악사고,38,766,5.0
구조활동,2025,5,대비,35,766,4.6
구조활동,2025,6,한라산,34,766,4.4
구조활동,2025,7,강원,33,766,4.3
구조활동,2025,8,사고,32,766,4.2
구조활동,2025,9,산불,28,766,3.7
구조활동,2025,10,항공기,28,766,3.7
구조활동,2025,11,가을철,26,766,3.4
구조활동,2025,12,결항,25,766,3.3
구조활동,2025,13,여객선,25,766,3.3
구조활동,2025,14,산행,24,766,3.1
구조활동,2025,15,제주,24,766,3.1
구조활동,2025,16,구조,24,766,3.1
구조활동,2025,17,CJ대한통운,24,766,3.1
구조활동,2025,18,캠페인,23,766,3.0
구조활동,2025,19,속출,23,766,3.0
구조활동,2025,20,수상,19,766,2.5
구조활동,2024,1,등산객,37,479,7.7
구조활동,2024,2,산악사고,35,479,7.3
구조활동,2024,3,구조,32,479,6.7
구조활동,2024,4,대비,25,479,5.2
구조활동,2024,5,지리산,20,479,4.2
구조활동,2024,6,광주,19,479,4.0
구조활동,2024,7,합동,19,479,4.0
구조활동,2024,8,40대,17,479,3.5
구조활동,2024,9,합동훈련,15,479,3.1
구조활동,2024,10,가을철,14,479,2.9
구조활동,2024,11,특수산악구조팀,14,479,2.9
구조활동,2024,12,을사년,13,479,2.7
구조활동,2024,13,산악구조,13,479,2.7
구조활동,2024,14,혁명적,13,479,2.7
구조활동,2024,15,여수향일암일출제,12,479,2.5
구조활동,2024,16,제주,12,479,2.5
구조활동,2024,17,잇따라,12,479,2.5
구조활동,2024,18,4명,12,479,2.5
구조활동,2024,19,발로,12,479,2.5
구조활동,2024,20,유관기관,12,479,2.5
구조활동,2023,1,한라산,53,550,9.6
구조활동,2023,2,산악사고,36,550,6.5
구조활동,2023,3,합동,34,550,6.2
구조활동,2023,4,대비,33,550,6.0
구조활동,2023,5,저체온증,31,550,5.6
구조활동,2023,6,구조,26,550,4.7
구조활동,2023,7,사망,25,550,4.5
구조활동,2023,8,훈련,23,550,4.2
구조활동,2023,9,북한산,22,550,4.0
구조활동,2023,10,거제,21,550,3.8
구조활동,2023,11,거북선,18,550,3.3
구조활동,2023,12,4명,17,550,3.1
구조활동,2023,13,제주,17,550,3.1
구조활동,2023,14,추락,16,550,2.9
구조활동,2023,15,수학여행,16,550,2.9
구조활동,2023,16,광주,15,550,2.7
구조활동,2023,17,50대,15,550,2.7
구조활동,2023,18,가을철,15,550,2.7
구조활동,2023,19,안전사고,14,550,2.5
구조활동,2023,20,산악구조,14,550,2.5
구조활동,2022,1,합동,19,350,5.4
구조활동,2022,2,전북,17,350,4.9
구조활동,2022,3,산악사고,16,350,4.6
구조활동,2022,4,7곳,15,350,4.3
구조활동,2022,5,한국관광,15,350,4.3
구조활동,2022,6,해수욕장,15,350,4.3
구조활동,2022,7,개장,15,350,4.3
구조활동,2022,8,제주,14,350,4.0
구조활동,2022,9,선정,12,350,3.4
구조활동,2022,10,유관기관,11,350,3.1
구조활동,2022,11,가을철,11,350,3.1
구조활동,2022,12,삼천포,11,350,3.1
구조활동,2022,13,e편한세상,11,350,3.1
구조활동,2022,14,7월,11,350,3.1
구조활동,2022,15,여수향일암일출제,10,350,2.9
구조활동,2022,16,100선,10,350,2.9
구조활동,2022,17,산악구조훈련,10,350,2.9
구조활동,2022,18,대비,10,350,2.9
구조활동,2022,19,안전사고,10,350,2.9
구조활동,2022,20,힌남노,10,350,2.9
구조활동,2021,1,지리산,194,527,36.8
구조활동,2021,2,전지현,90,527,17.1
구조활동,2021,3,주지훈,60,527,11.4
구조활동,2021,4,김은희,54,527,10.2
구조활동,2021,5,작가,41,527,7.8
구조활동,2021,6,구조,33,527,6.3
구조활동,2021,7,전지현X주지훈,33,527,6.3
구조활동,2021,8,산악사고,27,527,5.1
구조활동,2021,9,합동,27,527,5.1
구조활동,2021,10,공개,26,527,4.9
구조활동,2021,11,대비,22,527,4.2
구조활동,2021,12,성동일,21,527,4.0
구조활동,2021,13,조난자,18,527,3.4
구조활동,2021,14,오정세,17,527,3.2
구조활동,2021,15,산악구조훈련,15,527,2.8
구조활동,2021,16,레인저,15,527,2.8
구조활동,2021,17,좋은,15,527,2.8
구조활동,2021,18,원군,14,527,2.7
구조활동,2021,19,드라마,13,527,2.5
구조활동,2021,20,가을철,13,527,2.5
구조활동,2020,1,실종,48,361,13.3
구조활동,2020,2,사망,38,361,10.5
구조활동,2020,3,종합,28,361,7.8
구조활동,2020,4,이재민,22,361,6.1
구조활동,2020,5,대비,20,361,5.5
구조활동,2020,6,일자리,18,361,5.0
구조활동,2020,7,정보,18,361,5.0
구조활동,2020,8,피해,17,361,4.7
구조활동,2020,9,취업,17,361,4.7
구조활동,2020,10,합동,14,361,3.9
구조활동,2020,11,영암군,13,361,3.6
구조활동,2020,12,하이선,13,361,3.6
구조활동,2020,13,구조,12,361,3.3
구조활동,2020,14,산악사고,12,361,3.3
구조활동,2020,15,북한산,12,361,3.3
구조활동,2020,16,물놀이,12,361,3.3
구조활동,2020,17,13명,12,361,3.3
구조활동,2020,18,부상,11,361,3.0
구조활동,2020,19,한라산,11,361,3.0
구조활동,2020,20,안전사고,11,361,3.0
구조활동,2019,1,정보,37,372,9.9
구조활동,2019,2,종합,36,372,9.7
구조활동,2019,3,일자리,31,372,8.3
구조활동,2019,4,취업,31,372,8.3
구조활동,2019,5,북한산,31,372,8.3
구조활동,2019,6,캠페인,26,372,7.0
구조활동,2019,7,동국제약,20,372,5.4
구조활동,2019,8,산행안전,18,372,4.8
구조활동,2019,9,숨진,16,372,4.3
구조활동,2019,10,실종,14,372,3.8
구조활동,2019,11,발견,14,372,3.8
구조활동,2019,12,속리산서,14,372,3.8
구조활동,2019,13,안전사고,14,372,3.8
구조활동,2019,14,사망,14,372,3.8
구조활동,2019,15,임원,13,372,3.5
구조활동,2019,16,강화,13,372,3.5
구조활동,2019,17,합동,13,372,3.5
구조활동,2019,18,국립공원공단,13,372,3.5
구조활동,2019,19,청주,12,372,3.2
구조활동,2019,20,운영,12,372,3.2
구조활동,2018,1,캠페인,20,294,6.8
구조활동,2018,2,산행,16,294,5.4
구조활동,2018,3,안전,15,294,5.1
구조활동,2018,4,합동,15,294,5.1
구조활동,2018,5,환경,13,294,4.4
구조활동,2018,6,산악사고,12,294,4.1
구조활동,2018,7,제주,11,294,3.7
구조활동,2018,8,심장충격기,11,294,3.7
구조활동,2018,9,한라산,11,294,3.7
구조활동,2018,10,드론,11,294,3.7
구조활동,2018,11,전달,10,294,3.4
구조활동,2018,12,대비,10,294,3.4
구조활동,2018,13,관광공사,10,294,3.4
구조활동,2018,14,겨울철,9,294,3.1
구조활동,2018,15,사망,9,294,3.1
구조활동,2018,16,덕유산국립공원,9,294,3.1
구조활동,2018,17,관광지,9,294,3.1
구조활동,2018,18,추진,9,294,3.1
구조활동,2018,19,안전사고,8,294,2.7
구조활동,2018,20,헬기,8,294,2.7
구조활동,2017,1,운영,12,211,5.7
구조활동,2017,2,합동,12,211,5.7
구조활동,2017,3,등산객,11,211,5.2
구조활동,2017,4,가을철,11,211,5.2
구조활동,2017,5,훈련,11,211,5.2
구조활동,2017,6,안전지킴이,9,211,4.3
구조활동,2017,7,태안군,9,211,4.3
구조활동,2017,8,등산목,8,211,3.8
구조활동,2017,9,발견,8,211,3.8
구조활동,2017,10,실종,8,211,3.8
구조활동,2017,11,구조,8,211,3.8
구조활동,2017,12,해수욕장,8,211,3.8
구조활동,2017,13,대비,7,211,3.3
구조활동,2017,14,산악구조훈련,7,211,3.3
구조활동,2017,15,잇따라,7,211,3.3
구조활동,2017,16,캠페인,7,211,3.3
구조활동,2017,17,여름철,7,211,3.3
구조활동,2017,18,인명구조,7,211,3.3
구조활동,2017,19,보은소방서,6,211,2.8
구조활동,2017,20,산행,6,211,2.8
구조활동,2016,1,구조,28,273,10.3
구조활동,2016,2,한라산,23,273,8.4
구조활동,2016,3,등산객,15,273,5.5
구조활동,2016,4,산악사고,14,273,5.1
구조활동,2016,5,60대,14,273,5.1
구조활동,2016,6,공주소방서,12,273,4.4
구조활동,2016,7,훈련,11,273,4.0
구조활동,2016,8,실종,10,273,3.7
구조활동,2016,9,인명구조,9,273,3.3
구조활동,2016,10,합동,9,273,3.3
구조활동,2016,11,계룡산,9,273,3.3
구조활동,2016,12,해수욕장,9,273,3.3
구조활동,2016,13,발견,9,273,3.3
구조활동,2016,14,안전사고,8,273,2.9
구조활동,2016,15,계룡산서,8,273,2.9
구조활동,2016,16,캠페인,7,273,2.6
구조활동,2016,17,안전,7,273,2.6
구조활동,2016,18,가을철,7,273,2.6
구조활동,2016,19,피해,7,273,2.6
구조활동,2016,20,한라산국립공원,7,273,2.6
재난안전,2026,1,산불,376,1700,22.1
재난안전,2026,2,봄철,154,1700,9.1
재난안전,2026,3,통제,141,1700,8.3
재난안전,2026,4,피해,127,1700,7.5
재난안전,2026,5,캠페인,125,1700,7.4
재난안전,2026,6,예방,117,1700,6.9
재난안전,2026,7,산불예방,111,1700,6.5
재난안전,2026,8,합동,102,1700,6.0
재난안전,2026,9,탐방로,85,1700,5.0
재난안전,2026,10,대응,77,1700,4.5
재난안전,2026,11,폭우,75,1700,4.4
재난안전,2026,12,안전,69,1700,4.1
재난안전,2026,13,전국,60,1700,3.5
재난안전,2026,14,침수,56,1700,3.3
재난안전,2026,15,유관기관,56,1700,3.3
재난안전,2026,16,잇따라,55,1700,3.2
재난안전,2026,17,점검,53,1700,3.1
재난안전,2026,18,강화,52,1700,3.1
재난안전,2026,19,속출,50,1700,2.9
재난안전,2026,20,진화,50,1700,2.9
재난안전,2025,1,산불,622,2281,27.3
재난안전,2025,2,통제,251,2281,11.0
재난안전,2025,3,피해,176,2281,7.7
재난안전,2025,4,탐방로,163,2281,7.1
재난안전,2025,5,예방,139,2281,6.1
재난안전,2025,6,산불예방,134,2281,5.9
재난안전,2025,7,폭설,128,2281,5.6
재난안전,2025,8,산청,113,2281,5.0
재난안전,2025,9,강원,110,2281,4.8
재난안전,2025,10,캠페인,101,2281,4.4
재난안전,2025,11,광주,99,2281,4.3
재난안전,2025,12,전남,92,2281,4.0
재난안전,2025,13,지리산,90,2281,3.9
재난안전,2025,14,잇따라,85,2281,3.7
재난안전,2025,15,폭설에,81,2281,3.6
재난안전,2025,16,경북,79,2281,3.5
재난안전,2025,17,속출,76,2281,3.3
재난안전,2025,18,항공기,73,2281,3.2
재난안전,2025,19,진화,72,2281,3.2
재난안전,2025,20,가을철,69,2281,3.0
재난안전,2024,1,산사태,126,1141,11.0
재난안전,2024,2,통제,121,1141,10.6
재난안전,2024,3,피해,100,1141,8.8
재난안전,2024,4,탐방로,82,1141,7.2
재난안전,2024,5,토함산,76,1141,6.7
재난안전,2024,6,결항,70,1141,6.1
재난안전,2024,7,경주,70,1141,6.1
재난안전,2024,8,속출,68,1141,6.0
재난안전,2024,9,예방,67,1141,5.9
재난안전,2024,10,전남,63,1141,5.5
재난안전,2024,11,전국,63,1141,5.5
재난안전,2024,12,산불,63,1141,5.5
재난안전,2024,13,광주,62,1141,5.4
재난안전,2024,14,폭설,60,1141,5.3
재난안전,2024,15,강원,58,1141,5.1
재난안전,2024,16,합동,54,1141,4.7
재난안전,2024,17,땅밀림,50,1141,4.4
재난안전,2024,18,봄철,48,1141,4.2
재난안전,2024,19,잇따라,43,1141,3.8
재난안전,2024,20,종합,41,1141,3.6
재난안전,2023,1,통제,100,887,11.3
재난안전,2023,2,산불,88,887,9.9
재난안전,2023,3,피해,85,887,9.6
재난안전,2023,4,탐방로,70,887,7.9
재난안전,2023,5,전남,62,887,7.0
재난안전,2023,6,광주,60,887,6.8
재난안전,2023,7,속출,58,887,6.5
재난안전,2023,8,강원,51,887,5.7
재난안전,2023,9,종합,48,887,5.4
재난안전,2023,10,예방,45,887,5.1
재난안전,2023,11,태풍,43,887,4.8
재난안전,2023,12,카눈,40,887,4.5
재난안전,2023,13,잇따라,39,887,4.4
재난안전,2023,14,하동,38,887,4.3
재난안전,2023,15,전국,37,887,4.2
재난안전,2023,16,국립공원공단,37,887,4.2
재난안전,2023,17,일부,35,887,3.9
재난안전,2023,18,한라산,34,887,3.8
재난안전,2023,19,제주,32,887,3.6
재난안전,2023,20,잼버리,32,887,3.6
재난안전,2022,1,제주,52,443,11.7
재난안전,2022,2,통제,48,443,10.8
재난안전,2022,3,탐방로,47,443,10.6
재난안전,2022,4,태풍,44,443,9.9
재난안전,2022,5,힌남노,35,443,7.9
재난안전,2022,6,폭설,32,443,7.2
재난안전,2022,7,과태료,26,443,5.9
재난안전,2022,8,산불,25,443,5.6
재난안전,2022,9,피해,21,443,4.7
재난안전,2022,10,산불예방,21,443,4.7
재난안전,2022,11,잇따라,20,443,4.5
재난안전,2022,12,흡연,20,443,4.5
재난안전,2022,13,난마돌,20,443,4.5
재난안전,2022,14,봄철,20,443,4.5
재난안전,2022,15,합동,18,443,4.1
재난안전,2022,16,강화,17,443,3.8
재난안전,2022,17,캠페인,17,443,3.8
재난안전,2022,18,속출,16,443,3.6
재난안전,2022,19,예방,16,443,3.6
재난안전,2022,20,하늘,15,443,3.4
재난안전,2021,1,피해,36,314,11.5
재난안전,2021,2,강원,24,314,7.6
재난안전,2021,3,속출,23,314,7.3
