대륙,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
북아메리카,524,540,529,1338,262,2073,5266
아프리카,189,123,723,536,85,1182,2838
아시아,84,96,344,416,112,669,1721
오세아니아,174,122,185,369,73,714,1637
유럽,88,121,114,419,61,730,1533
남아메리카,31,38,144,263,24,281,781
