대륙,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
북아메리카,437,499,539,1421,276,2125,5297
아프리카,182,133,734,543,82,1208,2882
아시아,82,100,346,410,110,691,1739
오세아니아,168,129,187,378,76,730,1668
유럽,88,157,109,424,65,741,1584
남아메리카,35,44,147,261,28,276,791
