공원,관측개월수,최고시점,최고값_환산,평균_환산,최근값_환산
한라산,128,2025년 02월,217.03,39.88,22.26
설악산,128,2020년 10월,93.48,27.51,20.17
주왕산,128,2021년 10월,160.87,22.34,20.81
지리산,128,2025년 03월,38.27,17.28,9.75
월악산,128,2017년 10월,31.35,11.78,13.4
내장산,128,2021년 10월,65.64,11.69,4.52
한려해상,128,2022년 08월,21.87,11.21,7.94
북한산,128,2017년 10월,26.78,10.37,4.99
소백산,128,2021년 01월,22.96,9.8,5.71
덕유산,128,2021년 01월,29.91,9.61,7.3
오대산,128,2020년 10월,29.07,8.45,8.3
변산반도,128,2016년 05월,15.46,7.82,6.17
가야산,128,2020년 08월,25.38,7.6,6.17
태백산,128,2017년 01월,20.38,6.55,12.34
무등산,128,2021년 01월,24.4,5.58,2.77
계룡산,128,2018년 10월,15.66,5.28,2.74
치악산,128,2020년 10월,12.99,5.11,4.95
속리산,128,2017년 05월,17.24,4.55,2.89
다도해해상,128,2020년 09월,10.21,4.27,1.24
월출산,128,2016년 07월,8.52,3.71,2.26
태안해안,128,2022년 08월,6.25,3.48,2.19
경주,128,2022년 10월,8.29,3.37,1.85
팔공산,128,2023년 05월,24.8,2.06,3.49
금정산,117,2025년 11월,42.68,1.61,3.51
