공원,관측개월수,최고시점,최고값_환산,평균_환산,최근값_환산
한라산,128,2025년 02월,217.03,39.84,16.87
설악산,128,2020년 10월,93.48,27.47,15.64
주왕산,128,2021년 10월,160.87,22.3,15.87
지리산,128,2025년 03월,38.27,17.26,7.8
월악산,128,2017년 10월,31.35,11.77,11.1
내장산,128,2021년 10월,65.64,11.68,3.58
한려해상,128,2022년 08월,21.87,11.2,6.66
북한산,128,2017년 10월,26.78,10.36,3.74
소백산,128,2021년 01월,22.96,9.79,4.74
덕유산,128,2021년 01월,29.91,9.6,6.09
오대산,128,2020년 10월,29.07,8.44,6.82
변산반도,128,2016년 05월,15.46,7.81,4.94
가야산,128,2020년 08월,25.38,7.59,4.9
태백산,128,2017년 01월,20.38,6.54,11.31
무등산,128,2021년 01월,24.4,5.57,2.14
계룡산,128,2018년 10월,15.66,5.28,2.18
치악산,128,2020년 10월,12.99,5.1,3.88
속리산,128,2017년 05월,17.24,4.54,2.29
다도해해상,128,2020년 09월,10.21,4.27,0.94
월출산,128,2016년 07월,8.52,3.71,1.8
태안해안,128,2022년 08월,6.25,3.48,1.74
경주,128,2022년 10월,8.29,3.37,1.42
팔공산,128,2023년 05월,24.8,2.05,2.38
금정산,117,2025년 11월,42.68,1.6,2.6
