공원,관측개월수,최고시점,최고값_환산,평균_환산,최근값_환산
한라산,129,2025년 02월,217.03,39.62,4.11
설악산,129,2020년 10월,93.48,27.32,2.48
주왕산,129,2021년 10월,160.87,22.2,2.95
지리산,129,2025년 03월,38.27,17.16,0.96
월악산,129,2017년 10월,31.35,11.71,1.08
내장산,129,2021년 10월,65.64,11.61,0.72
한려해상,129,2022년 08월,21.87,11.14,0.65
북한산,129,2017년 10월,26.78,10.3,0.8
소백산,129,2021년 01월,22.96,9.73,0.59
덕유산,129,2021년 01월,29.91,9.54,0.7
오대산,129,2020년 10월,29.07,8.39,0.67
변산반도,129,2016년 05월,15.46,7.78,0.95
가야산,129,2020년 08월,25.38,7.55,0.8
태백산,129,2017년 01월,20.38,6.5,0.34
무등산,129,2021년 01월,24.4,5.54,0.4
계룡산,129,2018년 10월,15.66,5.24,0.4
치악산,129,2020년 10월,12.99,5.08,0.56
속리산,129,2017년 05월,17.24,4.52,0.32
다도해해상,129,2020년 09월,10.21,4.24,0.19
월출산,129,2016년 07월,8.52,3.69,0.28
태안해안,129,2022년 08월,6.25,3.46,0.3
경주,129,2022년 10월,8.29,3.35,0.24
팔공산,129,2023년 05월,24.8,2.05,0.4
금정산,118,2025년 11월,42.68,1.6,0.48
