국가,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
미국,473,437,405,1025,243,1638,4221
캐나다,45,107,133,330,35,366,1016
뉴질랜드,69,71,84,236,41,359,860
오스트레일리아,106,58,104,141,34,370,813
케냐,71,22,207,173,26,291,790
탄자니아,14,22,126,178,19,300,659
남아프리카 공화국,46,41,138,59,6,185,475
일본,7,13,95,195,22,116,448
나미비아,1,36,89,49,8,177,360
아르헨티나,17,22,74,154,11,70,348
크로아티아,13,3,8,189,10,122,345
네팔,22,16,67,70,20,138,333
콩고 민주 공화국,51,7,75,18,19,163,333
인도,26,32,59,15,15,172,319
스위스,15,10,37,87,16,148,313
브라질,6,17,43,96,11,119,292
스리랑카,4,24,61,46,50,85,270
스페인,15,61,17,50,9,106,258
영국,24,84,5,33,12,97,255
보츠와나,7,1,74,50,0,49,181
베트남,1,1,24,38,1,43,108
이탈리아,3,3,2,9,2,57,76
중화인민공화국,3,5,22,7,2,27,66
아이슬란드,3,0,13,12,0,37,65
터키,0,1,0,40,2,20,63
말레이시아,7,7,17,2,2,25,60
슬로베니아,3,0,3,24,4,26,60
몬테네그로,2,7,6,7,2,36,60
에콰도르,1,0,21,3,1,25,51
칠레,4,6,5,2,2,29,48
코스타리카,0,2,7,4,0,33,46
태국,4,4,3,1,2,32,46
베네수엘라,3,0,1,10,3,27,44
우간다,0,0,16,4,2,12,34
프랑스,0,1,1,8,1,20,31
과테말라,1,0,2,1,0,27,31
슬로바키아,2,1,3,4,0,16,26
필리핀,6,0,3,1,0,13,23
그린란드,0,0,0,1,0,19,20
폴란드,3,0,10,3,2,2,20
에티오피아,0,3,0,0,1,14,18
스웨덴,0,0,1,0,1,12,14
노르웨이,0,0,1,3,0,8,12
인도네시아,0,4,1,0,0,6,11
몽골,1,0,0,9,0,1,11
모로코,1,1,0,1,0,8,11
오스트리아,1,0,0,2,1,6,10
독일,0,0,0,0,0,9,9
마다가스카르,0,1,0,0,0,6,7
페루,0,0,0,0,0,3,3
