국가,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
미국,409,385,404,1053,232,1695,4178
캐나다,41,118,135,333,36,353,1016
뉴질랜드,64,71,80,236,40,355,846
오스트레일리아,105,64,106,140,34,355,804
케냐,63,19,208,171,24,288,773
탄자니아,19,16,127,182,20,307,671
남아프리카 공화국,43,47,134,63,5,188,480
일본,7,13,95,194,22,117,448
나미비아,1,33,90,48,5,175,352
크로아티아,13,5,12,188,10,120,348
아르헨티나,18,20,72,154,11,67,342
네팔,24,15,68,69,19,138,333
콩고 민주 공화국,51,5,79,18,19,158,330
인도,25,31,62,14,16,172,320
스위스,12,10,40,86,19,153,320
브라질,6,17,43,90,11,122,289
영국,28,49,6,29,16,145,273
스리랑카,4,16,60,47,50,85,262
스페인,13,55,16,50,9,110,253
보츠와나,5,0,74,50,0,49,178
베트남,1,1,24,37,1,41,105
이탈리아,1,3,3,7,1,56,71
중화인민공화국,3,5,25,5,2,28,68
슬로베니아,5,0,3,26,5,25,64
말레이시아,7,9,13,3,0,31,63
터키,0,1,0,39,2,19,61
아이슬란드,2,1,13,12,0,33,61
에콰도르,1,0,21,2,1,27,52
몬테네그로,3,4,5,7,2,30,51
칠레,4,5,5,1,2,31,48
슬로바키아,7,2,3,7,0,26,45
코스타리카,0,1,3,4,0,35,43
태국,5,3,4,1,0,30,43
베네수엘라,3,0,1,10,3,25,42
우간다,0,0,14,4,2,12,32
프랑스,0,0,1,7,1,21,30
과테말라,1,0,1,1,0,26,29
필리핀,5,0,3,1,1,17,27
에티오피아,0,2,1,2,1,14,20
그린란드,0,0,0,1,0,19,20
폴란드,3,0,10,3,2,2,20
스웨덴,1,0,1,0,1,13,16
오스트리아,1,0,0,4,1,9,15
노르웨이,0,0,1,1,0,10,12
독일,0,0,0,2,0,9,11
몽골,0,0,0,9,0,2,11
모로코,0,1,0,1,0,7,9
마다가스카르,0,1,0,0,0,5,6
인도네시아,0,3,0,0,0,2,5
페루,0,0,0,0,0,3,3
