섹터,세부분류,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,합계
구조활동,출동·대응,254,264,217,232,170,259,183,196,115,115,147,127,2563
구조활동,기타,81,203,91,116,99,124,81,62,67,35,36,71,1208
구조활동,실종·수색,626,34,6,28,9,31,14,19,5,6,18,1,836
구조활동,실족·추락,166,78,52,50,9,13,17,22,11,9,10,8,530
구조활동,심정지·응급질환,62,54,30,57,21,15,15,29,59,23,25,21,455
구조활동,조난·고립,24,68,24,15,5,64,12,5,8,3,11,31,294
구조활동,수난사고,33,13,12,8,10,8,16,21,4,7,9,8,173
구조활동,헬기·이송,50,22,6,30,5,4,3,1,10,0,4,6,151
구조활동,벌쏘임·동물피해,4,5,5,2,9,2,0,3,3,5,2,0,42
자원보전,기타,344,466,406,252,116,148,124,64,53,103,114,70,2404
자원보전,멸종위기종,593,287,207,139,82,74,82,42,24,45,95,42,1833
자원보전,식생·개화,329,360,231,153,141,68,67,46,44,22,37,27,1589
자원보전,복원·방사,181,250,110,126,59,94,98,102,27,26,47,37,1274
자원보전,불법·무질서 단속,146,153,124,104,52,49,47,50,24,31,21,32,890
자원보전,조류,59,93,68,65,39,28,30,19,21,11,15,4,474
자원보전,포유류,107,91,82,39,24,5,23,7,3,16,3,3,428
자원보전,자연유산·지질,79,111,63,44,32,20,6,14,12,7,4,6,412
자원보전,외래종·병해,9,11,5,4,3,1,4,1,0,21,1,0,61
재난안전,산불,795,987,209,194,110,65,56,52,27,31,43,29,2688
재난안전,예방·훈련,305,340,182,133,107,79,117,69,60,73,46,47,1631
재난안전,폭설·한파,115,428,245,160,93,67,10,5,33,20,51,17,1361
재난안전,호우·태풍,353,163,187,207,68,41,63,69,51,19,18,17,1309
재난안전,통제·입산금지,156,202,89,65,32,21,16,16,23,12,25,19,716
재난안전,산사태·낙석,54,58,157,54,14,10,15,24,9,11,25,8,460
재난안전,물놀이 위험지역,55,22,21,17,9,12,30,34,15,16,15,6,334
재난안전,폭염·가뭄,52,14,15,12,3,1,5,4,6,2,5,0,123
재난안전,기타,10,30,2,13,3,10,4,4,1,6,0,2,90
재난안전,지진,9,1,0,2,1,0,1,3,3,1,10,2,34
탐방시설,탐방로,730,1068,661,610,324,334,317,155,124,90,121,65,4823
탐방시설,해설·교육,732,917,548,354,296,229,182,186,88,76,75,53,3910
탐방시설,기타,437,479,415,335,204,184,141,126,31,42,29,28,2513
탐방시설,탐방객 동향,368,402,339,334,240,231,145,139,60,53,41,34,2471
탐방시설,편의·무장애,415,365,239,200,101,107,100,57,31,47,24,38,1812
탐방시설,축제·행사,403,369,243,254,88,46,34,47,38,39,31,33,1677
탐방시설,야영장·대피소,351,338,211,162,110,87,56,52,37,37,24,45,1581
탐방시설,예약제·개방,176,255,164,100,45,27,43,28,12,19,15,14,917
탐방시설,케이블카·삭도,203,232,92,79,36,11,10,13,4,8,9,10,724
행정,지정·구역,725,534,273,200,118,93,74,64,62,27,32,32,2286
행정,인사·조직,473,368,246,201,110,150,94,82,43,53,45,46,2036
행정,협약·협력,278,283,170,188,44,43,21,45,18,17,29,18,1195
행정,기타,289,158,74,52,22,32,20,40,67,17,4,10,829
행정,예산·재정,111,80,19,33,16,11,7,4,2,5,9,1,305
행정,법령·제도,87,19,22,33,15,10,25,12,4,2,3,8,254
행정,연구·용역,67,36,19,9,15,14,23,15,5,2,10,9,235
행정,의회·국정감사,62,22,24,18,7,5,1,1,3,2,1,3,153
