국가,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
미국,387,383,402,1090,242,1695,4199
캐나다,32,118,124,323,37,344,978
뉴질랜드,66,71,84,240,40,360,861
오스트레일리아,100,60,107,139,38,372,816
케냐,66,20,212,173,29,292,792
탄자니아,16,19,126,185,20,298,664
남아프리카 공화국,43,55,134,65,5,193,495
일본,8,13,96,194,22,119,452
나미비아,1,33,90,47,5,180,356
아르헨티나,19,23,73,155,11,69,350
크로아티아,13,2,11,186,11,116,339
네팔,23,15,68,68,19,141,334
콩고 민주 공화국,51,6,81,18,19,158,333
스위스,12,10,40,85,19,152,318
인도,28,30,62,13,13,163,309
브라질,8,17,43,90,11,119,288
영국,23,71,6,28,10,121,259
스리랑카,4,13,59,41,49,85,251
스페인,12,57,15,50,10,106,250
보츠와나,5,1,74,51,0,47,178
베트남,1,1,25,37,1,41,106
이탈리아,1,3,2,6,1,58,71
중화인민공화국,3,4,23,3,2,34,69
아이슬란드,3,1,12,12,0,37,65
말레이시아,7,11,13,3,0,31,65
슬로베니아,5,0,3,25,5,26,64
터키,0,1,0,39,2,19,61
에콰도르,0,0,25,2,1,28,56
몬테네그로,3,5,6,7,3,30,54
칠레,4,7,5,3,2,29,50
슬로바키아,8,2,2,8,0,28,48
코스타리카,0,2,5,5,0,33,45
태국,5,3,4,1,0,31,44
베네수엘라,3,1,1,10,3,26,44
우간다,0,0,15,5,2,15,37
프랑스,0,0,1,7,1,28,37
필리핀,3,1,3,1,1,20,29
과테말라,1,0,1,0,0,25,27
폴란드,3,0,12,3,2,2,22
그린란드,0,0,0,1,0,20,21
에티오피아,0,1,1,2,1,12,17
스웨덴,1,0,1,1,1,11,15
오스트리아,1,0,0,3,1,9,14
독일,0,0,0,2,0,10,12
노르웨이,0,0,0,2,0,10,12
몽골,1,0,0,9,0,1,11
모로코,0,1,0,1,0,7,9
인도네시아,0,6,0,0,0,2,8
마다가스카르,0,1,0,0,0,6,7
페루,0,0,0,0,0,1,1
