섹터,세부분류,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,합계
구조활동,출동·대응,217,266,228,232,170,260,183,198,115,115,147,133,2549
구조활동,기타,88,199,93,115,99,124,82,62,67,35,36,73,1216
구조활동,실종·수색,554,34,6,28,9,31,14,19,5,6,18,1,764
구조활동,실족·추락,171,80,54,50,11,13,17,23,11,9,10,8,542
구조활동,심정지·응급질환,51,54,31,57,21,15,15,29,59,23,25,21,445
구조활동,조난·고립,16,67,26,15,5,64,12,5,8,3,11,31,287
구조활동,수난사고,26,13,12,8,10,8,16,21,4,7,9,8,166
구조활동,헬기·이송,40,22,7,30,5,4,3,2,10,0,4,6,143
구조활동,벌쏘임·동물피해,4,5,5,2,9,2,0,3,3,5,2,0,42
자원보전,기타,306,478,417,260,115,153,126,65,53,103,114,70,2405
자원보전,멸종위기종,590,286,209,139,82,74,82,43,24,45,96,47,1838
자원보전,식생·개화,312,358,235,159,141,68,70,46,44,22,37,27,1583
자원보전,복원·방사,198,249,113,144,59,95,99,102,27,26,48,38,1315
자원보전,불법·무질서 단속,141,155,125,103,55,49,47,50,24,31,21,32,890
자원보전,조류,56,92,70,66,39,28,30,19,21,11,15,4,473
자원보전,자연유산·지질,75,110,88,45,32,20,6,18,12,7,4,6,437
자원보전,포유류,100,90,92,38,24,5,23,7,3,16,3,3,429
자원보전,외래종·병해,6,12,6,4,3,1,4,1,0,21,1,0,60
재난안전,산불,762,996,217,194,111,66,58,52,28,31,43,29,2677
재난안전,예방·훈련,291,327,182,134,108,81,117,70,60,73,46,47,1609
재난안전,폭설·한파,125,428,247,168,93,67,10,5,33,20,51,17,1381
재난안전,호우·태풍,313,166,189,207,68,41,63,69,51,19,18,17,1274
재난안전,통제·입산금지,141,205,95,67,32,22,16,16,23,12,25,19,713
재난안전,산사태·낙석,51,58,156,54,15,10,15,24,9,11,25,8,457
재난안전,물놀이 위험지역,51,22,21,17,9,12,30,34,15,16,15,6,330
재난안전,폭염·가뭄,47,14,15,12,3,1,5,4,6,2,5,0,118
재난안전,기타,9,31,5,13,3,10,4,4,1,6,0,2,93
재난안전,지진,5,1,0,2,1,0,1,3,3,1,10,2,30
탐방시설,탐방로,688,1062,672,614,335,337,321,160,125,89,123,65,4816
탐방시설,해설·교육,680,922,559,363,313,234,185,188,88,76,75,53,3910
탐방시설,기타,408,477,419,333,216,192,143,128,31,42,29,28,2508
탐방시설,탐방객 동향,340,396,343,335,243,234,145,145,60,53,41,34,2454
탐방시설,편의·무장애,384,370,244,206,100,107,100,57,31,47,24,40,1798
탐방시설,축제·행사,372,367,235,258,88,48,35,48,38,40,32,33,1646
탐방시설,야영장·대피소,323,360,221,161,110,87,56,52,38,37,24,45,1585
탐방시설,예약제·개방,159,262,162,104,45,27,43,29,12,19,15,14,911
탐방시설,케이블카·삭도,200,233,93,79,36,11,10,13,4,8,9,10,723
행정,지정·구역,709,540,280,206,122,102,80,65,62,27,32,32,2309
행정,인사·조직,453,375,249,200,110,152,94,84,43,53,45,46,2029
행정,협약·협력,224,297,171,188,47,48,25,45,18,17,29,18,1168
행정,기타,294,161,77,53,22,32,20,43,67,17,4,14,848
행정,예산·재정,88,85,19,33,16,11,7,4,2,5,9,1,287
행정,법령·제도,84,19,23,33,15,10,25,12,4,2,3,8,252
행정,연구·용역,56,35,19,9,15,14,24,15,5,2,10,9,224
행정,의회·국정감사,40,28,24,18,7,5,1,1,3,2,1,3,137
