섹터,세부분류,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,합계
구조활동,출동·대응,223,265,225,232,169,260,183,198,115,115,147,128,2544
구조활동,기타,77,201,93,116,99,124,82,62,67,35,36,72,1206
구조활동,실종·수색,629,34,6,28,9,31,14,19,5,6,18,1,839
구조활동,실족·추락,171,80,52,50,9,13,17,23,11,9,10,8,538
구조활동,심정지·응급질환,52,54,31,57,21,15,15,29,59,23,25,21,446
구조활동,조난·고립,19,67,26,15,5,64,12,5,8,3,11,31,290
구조활동,수난사고,30,13,12,8,10,8,16,21,4,7,9,8,170
구조활동,헬기·이송,48,22,7,30,5,4,3,2,10,0,4,6,151
구조활동,벌쏘임·동물피해,4,5,5,2,9,2,0,3,3,5,2,0,42
자원보전,기타,312,473,414,257,115,151,126,64,53,103,114,70,2396
자원보전,멸종위기종,590,287,208,139,82,74,82,42,24,45,96,47,1837
자원보전,식생·개화,315,359,234,154,141,68,70,46,44,22,37,27,1581
자원보전,복원·방사,188,249,111,136,59,95,98,102,27,26,47,38,1293
자원보전,불법·무질서 단속,141,154,125,103,53,49,47,50,24,31,21,32,887
자원보전,조류,58,94,70,66,39,28,30,19,21,11,15,4,477
자원보전,자연유산·지질,76,111,88,44,32,20,6,16,12,7,4,6,436
자원보전,포유류,102,91,92,38,24,5,23,7,3,16,3,3,432
자원보전,외래종·병해,8,11,6,4,3,1,4,1,0,21,1,0,61
재난안전,산불,771,990,212,194,110,66,58,52,28,31,43,29,2674
재난안전,예방·훈련,296,327,182,132,107,81,117,69,60,73,46,47,1610
재난안전,폭설·한파,115,427,247,161,93,67,10,5,33,20,51,17,1363
재난안전,호우·태풍,365,163,188,207,68,41,63,71,51,19,18,17,1324
재난안전,통제·입산금지,142,205,95,66,32,21,16,16,23,12,25,19,712
재난안전,산사태·낙석,55,59,157,54,14,10,15,24,9,11,25,8,462
재난안전,물놀이 위험지역,51,22,21,17,9,12,30,34,15,16,15,6,330
재난안전,폭염·가뭄,53,14,15,12,3,1,5,4,6,2,5,0,124
재난안전,기타,10,30,5,13,3,10,4,4,1,6,0,2,93
재난안전,지진,9,1,0,2,1,0,1,3,3,1,10,2,34
탐방시설,탐방로,704,1057,669,615,326,335,320,157,125,89,122,65,4809
탐방시설,해설·교육,700,918,559,361,302,232,185,186,88,77,75,53,3910
탐방시설,기타,417,480,417,334,214,192,142,126,31,42,29,28,2514
탐방시설,탐방객 동향,352,396,339,335,241,234,145,144,60,53,41,34,2459
탐방시설,편의·무장애,393,365,239,206,101,107,100,57,31,47,24,39,1797
탐방시설,축제·행사,385,375,235,257,88,47,35,48,38,39,32,33,1664
탐방시설,야영장·대피소,342,356,221,162,110,86,56,52,38,37,24,45,1600
탐방시설,예약제·개방,164,262,162,103,45,27,43,29,12,19,15,14,914
탐방시설,케이블카·삭도,201,233,93,79,36,11,10,13,4,8,9,10,724
행정,지정·구역,720,539,277,206,120,101,80,64,62,27,32,31,2311
행정,인사·조직,448,373,248,201,110,152,94,82,43,53,45,46,2020
행정,협약·협력,242,284,170,188,47,48,25,45,18,17,29,18,1172
행정,기타,290,161,77,52,22,32,20,43,67,17,4,13,842
행정,예산·재정,94,85,19,33,16,11,7,4,2,5,9,1,293
행정,법령·제도,91,19,22,33,15,10,25,12,4,2,3,9,259
행정,연구·용역,61,36,19,9,15,14,24,15,5,2,10,9,230
행정,의회·국정감사,47,28,24,18,7,5,1,1,3,2,1,3,144
