섹터,세부분류,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,합계
구조활동,출동·대응,212,281,238,240,177,265,194,203,120,117,156,133,2627
구조활동,기타,91,194,94,115,99,124,90,62,67,35,36,73,1228
구조활동,실종·수색,544,34,6,28,9,31,14,19,6,6,18,1,755
구조활동,실족·추락,167,92,54,50,13,14,17,26,14,9,10,8,564
구조활동,심정지·응급질환,49,54,32,57,21,15,15,29,60,23,25,21,445
구조활동,조난·고립,10,67,31,15,5,64,12,6,8,3,11,31,287
구조활동,수난사고,25,17,12,9,12,8,16,22,6,13,11,8,185
구조활동,헬기·이송,40,22,7,30,5,4,3,2,10,0,4,6,146
구조활동,벌쏘임·동물피해,4,5,5,6,9,2,0,3,3,5,2,0,46
자원보전,기타,332,500,432,269,122,154,128,79,54,103,115,71,2509
자원보전,멸종위기종,576,291,222,140,89,74,82,43,24,45,99,49,1863
자원보전,식생·개화,310,360,239,160,143,70,73,47,46,24,39,29,1607
자원보전,복원·방사,180,250,115,144,60,96,101,102,27,35,48,44,1322
자원보전,조류,55,93,74,67,39,30,30,19,22,11,16,4,483
자원보전,포유류,113,89,92,38,24,6,23,7,3,16,3,9,448
자원보전,자연유산·지질,69,111,91,52,33,20,6,18,12,7,4,6,443
자원보전,외래종·병해,6,13,6,4,3,1,4,1,0,21,1,0,61
재난안전,산불,749,1024,227,200,112,66,58,52,30,31,43,29,2713
재난안전,예방·훈련,317,339,198,155,114,89,130,84,66,77,49,48,1797
재난안전,폭설·한파,126,431,247,171,94,67,10,5,33,20,51,17,1389
재난안전,호우·태풍,270,170,193,209,68,42,64,71,51,19,18,17,1247
재난안전,통제·입산금지,130,207,98,71,33,28,22,24,23,12,25,19,735
재난안전,산사태·낙석,50,59,155,54,15,10,15,24,9,11,25,9,457
재난안전,폭염·가뭄,43,19,18,12,3,2,5,7,7,2,8,1,134
재난안전,기타,10,31,5,13,3,10,4,4,1,6,0,2,94
재난안전,지진,5,1,0,2,1,0,1,3,3,1,10,2,30
탐방시설,탐방로,665,1091,689,626,351,342,326,180,128,92,124,68,4911
탐방시설,해설·교육,640,936,566,364,318,235,185,192,92,79,75,53,3912
탐방시설,탐방객 동향,335,423,376,371,270,263,155,155,61,58,45,38,2652
탐방시설,기타,398,489,429,335,219,194,154,130,33,44,33,30,2554
탐방시설,편의·무장애,365,375,262,207,103,107,102,58,31,47,25,40,1812
탐방시설,축제·행사,365,369,234,263,89,49,35,49,39,40,32,33,1649
탐방시설,야영장·대피소,313,361,222,163,111,87,56,52,38,35,25,45,1579
탐방시설,예약제·개방,145,262,164,103,55,27,45,29,13,19,15,14,912
탐방시설,케이블카·삭도,167,239,95,79,37,11,10,13,4,8,9,10,699
행정,지정·구역,714,554,292,210,123,105,80,69,63,27,35,33,2361
행정,인사·조직,469,398,267,205,111,155,100,97,48,56,47,51,2135
행정,협약·협력,208,296,180,188,47,49,25,45,18,17,29,20,1163
행정,기타,295,166,77,56,23,32,22,44,67,18,4,15,863
행정,예산·재정,86,84,19,33,16,11,7,5,2,5,9,1,285
행정,법령·제도,84,23,26,33,17,10,25,12,4,2,4,10,264
행정,연구·용역,52,35,19,9,15,14,24,15,5,2,10,9,220
행정,의회·국정감사,38,28,24,18,7,5,1,1,3,2,1,3,138
