분야,연도,순위,키워드,빈도,기사수,출현율(%)
구조활동,2026,1,실종,468,1253,37.4
구조활동,2026,2,초등생,464,1253,37.0
구조활동,2026,3,주왕산,451,1253,36.0
구조활동,2026,4,수색,144,1253,11.5
구조활동,2026,5,숨진,142,1253,11.3
구조활동,2026,6,발견,137,1253,10.9
구조활동,2026,7,사망,112,1253,8.9
구조활동,2026,8,청송,110,1253,8.8
구조활동,2026,9,헬기,86,1253,6.9
구조활동,2026,10,주왕산서,85,1253,6.8
구조활동,2026,11,이틀째,80,1253,6.4
구조활동,2026,12,구조,78,1253,6.2
구조활동,2026,13,만에,71,1253,5.7
구조활동,2026,14,설악산,67,1253,5.3
구조활동,2026,15,손상,66,1253,5.3
구조활동,2026,16,추락,61,1253,4.9
구조활동,2026,17,부검,57,1253,4.5
구조활동,2026,18,KAI,56,1253,4.5
구조활동,2026,19,의한,56,1253,4.5
구조활동,2026,20,사흘째,56,1253,4.5
구조활동,2025,1,설악산,42,741,5.7
구조활동,2025,2,60대,41,741,5.5
구조활동,2025,3,합동,38,741,5.1
구조활동,2025,4,산악사고,38,741,5.1
구조활동,2025,5,대비,35,741,4.7
구조활동,2025,6,한라산,34,741,4.6
구조활동,2025,7,강원,33,741,4.5
구조활동,2025,8,사고,30,741,4.0
구조활동,2025,9,산불,28,741,3.8
구조활동,2025,10,항공기,28,741,3.8
구조활동,2025,11,가을철,26,741,3.5
구조활동,2025,12,결항,25,741,3.4
구조활동,2025,13,여객선,25,741,3.4
구조활동,2025,14,제주,24,741,3.2
구조활동,2025,15,구조,24,741,3.2
구조활동,2025,16,CJ대한통운,24,741,3.2
구조활동,2025,17,속출,23,741,3.1
구조활동,2025,18,환경부,20,741,2.7
구조활동,2025,19,수상,19,741,2.6
구조활동,2025,20,패키지,19,741,2.6
구조활동,2024,1,등산객,35,457,7.7
구조활동,2024,2,산악사고,35,457,7.7
구조활동,2024,3,구조,28,457,6.1
구조활동,2024,4,대비,25,457,5.5
구조활동,2024,5,지리산,19,457,4.2
구조활동,2024,6,광주,19,457,4.2
구조활동,2024,7,합동,19,457,4.2
구조활동,2024,8,40대,17,457,3.7
구조활동,2024,9,합동훈련,15,457,3.3
구조활동,2024,10,가을철,14,457,3.1
구조활동,2024,11,특수산악구조팀,14,457,3.1
구조활동,2024,12,을사년,13,457,2.8
구조활동,2024,13,산악구조,13,457,2.8
구조활동,2024,14,혁명적,13,457,2.8
구조활동,2024,15,여수향일암일출제,12,457,2.6
구조활동,2024,16,제주,12,457,2.6
구조활동,2024,17,잇따라,12,457,2.6
구조활동,2024,18,유관기관,12,457,2.6
구조활동,2024,19,봄철,12,457,2.6
구조활동,2024,20,지원,12,457,2.6
구조활동,2023,1,한라산,50,538,9.3
구조활동,2023,2,산악사고,36,538,6.7
구조활동,2023,3,합동,34,538,6.3
구조활동,2023,4,대비,33,538,6.1
구조활동,2023,5,저체온증,31,538,5.8
구조활동,2023,6,구조,26,538,4.8
구조활동,2023,7,사망,25,538,4.6
구조활동,2023,8,훈련,23,538,4.3
구조활동,2023,9,북한산,22,538,4.1
구조활동,2023,10,거제,21,538,3.9
구조활동,2023,11,거북선,18,538,3.3
구조활동,2023,12,4명,17,538,3.2
구조활동,2023,13,제주,16,538,3.0
구조활동,2023,14,추락,16,538,3.0
구조활동,2023,15,수학여행,16,538,3.0
구조활동,2023,16,광주,15,538,2.8
구조활동,2023,17,50대,15,538,2.8
구조활동,2023,18,가을철,15,538,2.8
구조활동,2023,19,산악구조,14,538,2.6
구조활동,2023,20,확대,14,538,2.6
구조활동,2022,1,합동,19,336,5.7
구조활동,2022,2,전북,17,336,5.1
구조활동,2022,3,산악사고,16,336,4.8
구조활동,2022,4,7곳,15,336,4.5
구조활동,2022,5,한국관광,15,336,4.5
구조활동,2022,6,해수욕장,15,336,4.5
구조활동,2022,7,개장,15,336,4.5
구조활동,2022,8,선정,12,336,3.6
구조활동,2022,9,제주,11,336,3.3
구조활동,2022,10,유관기관,11,336,3.3
구조활동,2022,11,삼천포,11,336,3.3
구조활동,2022,12,e편한세상,11,336,3.3
구조활동,2022,13,7월,11,336,3.3
구조활동,2022,14,여수향일암일출제,10,336,3.0
구조활동,2022,15,100선,10,336,3.0
구조활동,2022,16,산악구조훈련,10,336,3.0
구조활동,2022,17,가을철,10,336,3.0
구조활동,2022,18,대비,10,336,3.0
구조활동,2022,19,힌남노,10,336,3.0
구조활동,2022,20,구조,9,336,2.7
구조활동,2021,1,지리산,192,521,36.9
구조활동,2021,2,전지현,90,521,17.3
구조활동,2021,3,주지훈,60,521,11.5
구조활동,2021,4,김은희,52,521,10.0
구조활동,2021,5,작가,39,521,7.5
구조활동,2021,6,구조,33,521,6.3
구조활동,2021,7,전지현X주지훈,33,521,6.3
구조활동,2021,8,산악사고,27,521,5.2
구조활동,2021,9,합동,27,521,5.2
구조활동,2021,10,공개,26,521,5.0
구조활동,2021,11,대비,22,521,4.2
구조활동,2021,12,성동일,21,521,4.0
구조활동,2021,13,조난자,18,521,3.5
구조활동,2021,14,오정세,17,521,3.3
구조활동,2021,15,산악구조훈련,15,521,2.9
구조활동,2021,16,레인저,15,521,2.9
구조활동,2021,17,좋은,15,521,2.9
