국가,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
미국,423,424,393,1019,227,1582,4068
캐나다,47,81,135,309,24,345,941
뉴질랜드,65,71,81,236,40,363,856
오스트레일리아,99,56,104,144,34,374,811
케냐,68,21,176,133,29,280,707
탄자니아,14,24,141,181,20,303,683
남아프리카 공화국,43,49,136,65,5,182,480
일본,8,12,96,194,22,115,447
나미비아,1,30,89,49,7,180,356
아르헨티나,20,22,73,155,11,73,354
크로아티아,13,3,11,187,10,121,345
콩고 민주 공화국,51,6,81,18,19,155,330
스위스,18,10,39,84,17,154,322
인도,27,34,61,13,16,169,320
브라질,6,17,43,96,12,120,294
스리랑카,4,22,66,46,49,88,275
스페인,15,55,16,54,8,107,255
영국,26,81,4,27,12,98,248
네팔,13,11,33,53,18,117,245
보츠와나,5,1,75,50,0,48,179
베트남,1,1,23,38,1,46,110
이탈리아,1,3,2,9,2,58,75
중화인민공화국,3,6,23,5,2,31,70
말레이시아,6,8,15,3,2,31,65
아이슬란드,4,0,13,12,0,36,65
터키,0,1,0,40,2,22,65
슬로베니아,4,0,3,24,4,26,61
몬테네그로,2,7,6,7,2,31,55
에콰도르,1,0,21,2,2,26,52
칠레,4,5,5,2,2,32,50
태국,6,4,4,1,1,30,46
코스타리카,0,2,6,4,0,32,44
베네수엘라,3,0,1,10,3,25,42
우간다,0,0,16,4,2,12,34
과테말라,1,0,2,1,0,29,33
필리핀,8,1,3,1,0,17,30
슬로바키아,2,1,3,5,0,18,29
프랑스,0,1,1,7,1,19,29
폴란드,3,0,11,3,2,2,21
에티오피아,0,1,1,1,1,16,20
그린란드,0,0,0,1,0,18,19
스웨덴,0,0,1,0,1,12,14
몽골,1,0,0,9,0,2,12
노르웨이,0,0,1,2,0,9,12
모로코,1,1,0,1,0,7,10
오스트리아,1,0,0,3,1,5,10
인도네시아,0,4,1,0,0,4,9
독일,0,0,0,0,0,9,9
마다가스카르,0,1,1,0,0,5,7
페루,0,0,0,0,0,3,3
