대륙,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
북아메리카,451,504,543,1392,268,2128,5286
아프리카,182,124,727,539,76,1203,2851
아시아,81,97,354,419,113,682,1746
오세아니아,169,135,186,376,74,710,1650
유럽,89,129,114,429,67,762,1590
남아메리카,32,42,142,257,28,275,776
