공원,관측개월수,최고시점,최고값_환산,평균_환산,최근값_환산
한라산,129,2025년 02월,217.03,39.71,15.83
설악산,129,2020년 10월,93.48,27.39,11.37
주왕산,129,2021년 10월,160.87,22.32,18.42
지리산,129,2025년 03월,38.27,17.19,4.37
월악산,129,2017년 10월,31.35,11.73,4.54
내장산,129,2021년 10월,65.64,11.64,4.26
한려해상,129,2022년 08월,21.87,11.16,3.28
북한산,129,2017년 10월,26.78,10.33,3.71
소백산,129,2021년 01월,22.96,9.75,3.24
덕유산,129,2021년 01월,29.91,9.56,2.9
오대산,129,2020년 10월,29.07,8.42,3.39
변산반도,129,2016년 05월,15.46,7.8,4.03
가야산,129,2020년 08월,25.38,7.57,3.55
태백산,129,2017년 01월,20.38,6.51,2.07
무등산,129,2021년 01월,24.4,5.55,2.02
계룡산,129,2018년 10월,15.66,5.25,1.73
치악산,129,2020년 10월,12.99,5.09,2.3
속리산,129,2017년 05월,17.24,4.53,1.64
다도해해상,129,2020년 09월,10.21,4.24,0.67
월출산,129,2016년 07월,8.52,3.7,1.67
태안해안,129,2022년 08월,6.25,3.47,1.14
경주,129,2022년 10월,8.29,3.36,1.29
팔공산,129,2023년 05월,24.8,2.07,2.16
금정산,118,2025년 11월,42.68,1.63,3.79
