공원,관측개월수,최고시점,최고값_환산,평균_환산,최근값_환산
한라산,128,2025년 02월,217.03,39.8,12.07
설악산,128,2020년 10월,93.48,27.44,12.24
주왕산,128,2021년 10월,160.87,22.27,12.26
지리산,128,2025년 03월,38.27,17.25,6.15
월악산,128,2017년 10월,31.35,11.75,8.83
내장산,128,2021년 10월,65.64,11.67,2.65
한려해상,128,2022년 08월,21.87,11.19,5.6
북한산,128,2017년 10월,26.78,10.36,2.93
소백산,128,2021년 01월,22.96,9.79,3.92
덕유산,128,2021년 01월,29.91,9.59,5.15
오대산,128,2020년 10월,29.07,8.43,5.64
변산반도,128,2016년 05월,15.46,7.81,3.97
가야산,128,2020년 08월,25.38,7.58,4.01
태백산,128,2017년 01월,20.38,6.53,10.06
무등산,128,2021년 01월,24.4,5.57,1.59
계룡산,128,2018년 10월,15.66,5.27,1.75
치악산,128,2020년 10월,12.99,5.09,3.19
속리산,128,2017년 05월,17.24,4.54,1.83
다도해해상,128,2020년 09월,10.21,4.27,0.79
월출산,128,2016년 07월,8.52,3.7,1.39
태안해안,128,2022년 08월,6.25,3.48,1.34
경주,128,2022년 10월,8.29,3.37,1.1
팔공산,128,2023년 05월,24.8,2.05,1.84
금정산,117,2025년 11월,42.68,1.6,2.08
