공원,연월,검색관심도_원값,검색관심도_환산
가야산,2020년 05월,5.5,8.85
가야산,2020년 06월,5.51,8.87
가야산,2020년 07월,6.08,9.78
가야산,2020년 08월,15.77,25.38
가야산,2020년 09월,5.93,9.53
가야산,2020년 10월,8.43,13.56
가야산,2020년 11월,5.06,8.13
가야산,2020년 12월,4.65,7.48
가야산,2021년 01월,5.58,8.98
가야산,2021년 02월,4.68,7.54
가야산,2021년 03월,5.18,8.34
가야산,2021년 04월,6.61,10.64
가야산,2021년 05월,6.12,9.85
가야산,2021년 06월,6.08,9.79
가야산,2021년 07월,7.06,11.36
가야산,2021년 08월,8.2,13.18
가야산,2021년 09월,8.11,13.04
가야산,2021년 10월,12.13,19.51
가야산,2021년 11월,10.25,16.48
가야산,2021년 12월,5.23,8.41
가야산,2022년 01월,4.42,7.11
가야산,2022년 02월,4.94,7.95
가야산,2022년 03월,5.85,9.4
가야산,2022년 04월,6.23,10.02
가야산,2022년 05월,6.77,10.88
가야산,2022년 06월,6.15,9.89
가야산,2022년 07월,6.09,9.79
가야산,2022년 08월,7.11,11.44
가야산,2022년 09월,7.11,11.43
가야산,2022년 10월,9.41,15.13
가야산,2022년 11월,5.85,9.41
가야산,2022년 12월,3.68,5.91
가야산,2023년 01월,3.0,4.82
가야산,2023년 02월,3.88,6.25
가야산,2023년 03월,4.7,7.57
가야산,2023년 04월,4.46,7.17
가야산,2023년 05월,4.64,7.46
가야산,2023년 06월,4.15,6.67
가야산,2023년 07월,3.27,5.27
가야산,2023년 08월,3.7,5.95
가야산,2023년 09월,3.5,5.63
가야산,2023년 10월,6.05,9.73
가야산,2023년 11월,3.6,5.8
가야산,2023년 12월,2.56,4.12
가야산,2024년 01월,2.2,3.54
가야산,2024년 02월,2.81,4.52
가야산,2024년 03월,3.21,5.16
가야산,2024년 04월,3.68,5.92
가야산,2024년 05월,3.53,5.67
가야산,2024년 06월,3.04,4.88
가야산,2024년 07월,2.75,4.42
가야산,2024년 08월,3.19,5.14
가야산,2024년 09월,3.46,5.57
가야산,2024년 10월,5.3,8.53
가야산,2024년 11월,4.4,7.07
가야산,2024년 12월,3.38,5.44
가야산,2025년 01월,2.32,3.74
가야산,2025년 02월,2.33,3.74
가야산,2025년 03월,2.83,4.55
가야산,2025년 04월,3.66,5.89
가야산,2025년 05월,2.81,4.53
가야산,2025년 06월,1.99,3.21
가야산,2025년 07월,2.23,3.58
가야산,2025년 08월,3.8,6.12
가야산,2025년 09월,2.44,3.92
가야산,2025년 10월,4.49,7.22
가야산,2025년 11월,4.52,7.28
가야산,2025년 12월,3.93,6.32
가야산,2026년 01월,2.15,3.46
가야산,2026년 02월,2.23,3.59
가야산,2026년 03월,3.07,4.94
가야산,2026년 04월,3.08,4.95
가야산,2026년 05월,3.4,5.47
가야산,2026년 06월,2.7,4.34
가야산,2026년 07월,4.08,6.56
가야산,2026년 08월,3.84,6.17
경주,2016년 01월,2.34,2.34
경주,2016년 02월,1.99,1.99
경주,2016년 03월,2.43,2.43
경주,2016년 04월,2.77,2.77
경주,2016년 05월,2.99,2.99
경주,2016년 06월,2.22,2.22
경주,2016년 07월,2.18,2.18
경주,2016년 08월,2.41,2.41
경주,2016년 09월,2.85,2.85
경주,2016년 10월,2.19,2.19
경주,2016년 11월,1.99,1.99
경주,2016년 12월,1.45,1.45
경주,2017년 01월,1.38,1.38
경주,2017년 02월,1.58,1.58
경주,2017년 03월,2.23,2.23
경주,2017년 04월,2.75,2.75
경주,2017년 05월,2.71,2.71
경주,2017년 06월,2.34,2.34
경주,2017년 07월,2.42,2.42
경주,2017년 08월,2.75,2.75
경주,2017년 09월,2.84,2.84
경주,2017년 10월,3.92,3.92
경주,2017년 11월,2.38,2.38
경주,2017년 12월,1.4,1.4
경주,2018년 01월,1.62,1.62
경주,2018년 02월,1.41,1.41
경주,2018년 03월,2.55,2.55
경주,2018년 04월,2.87,2.87
경주,2018년 05월,2.83,2.83
경주,2018년 06월,2.22,2.22
경주,2018년 07월,2.38,2.38
경주,2018년 08월,3.33,3.33
경주,2018년 09월,4.41,4.41
경주,2018년 10월,4.77,4.77
경주,2018년 11월,3.4,3.4
경주,2018년 12월,2.69,2.69
경주,2019년 01월,1.93,1.93
경주,2019년 02월,2.16,2.16
경주,2019년 03월,2.78,2.78
경주,2019년 04월,2.79,2.79
경주,2019년 05월,3.05,3.05
경주,2019년 06월,2.73,2.73
경주,2019년 07월,2.92,2.92
경주,2019년 08월,3.26,3.26
경주,2019년 09월,2.87,2.87
경주,2019년 10월,4.24,4.24
경주,2019년 11월,3.39,3.39
경주,2019년 12월,2.3,2.3
경주,2020년 01월,2.8,2.8
경주,2020년 02월,1.81,1.81
경주,2020년 03월,1.88,1.88
경주,2020년 04월,3.32,3.32
경주,2020년 05월,3.58,3.58
경주,2020년 06월,3.62,3.62
경주,2020년 07월,4.21,4.21
경주,2020년 08월,4.34,4.34
경주,2020년 09월,3.93,3.93
경주,2020년 10월,5.5,5.5
경주,2020년 11월,4.36,4.36
경주,2020년 12월,3.57,3.57
경주,2021년 01월,3.41,3.41
경주,2021년 02월,3.88,3.88
경주,2021년 03월,4.1,4.1
경주,2021년 04월,4.84,4.84
경주,2021년 05월,5.34,5.34
경주,2021년 06월,4.66,4.66
경주,2021년 07월,3.81,3.81
경주,2021년 08월,4.95,4.95
경주,2021년 09월,5.67,5.67
경주,2021년 10월,7.86,7.86
경주,2021년 11월,5.3,5.3
경주,2021년 12월,3.66,3.66
경주,2022년 01월,3.51,3.51
경주,2022년 02월,3.36,3.36
경주,2022년 03월,3.61,3.61
경주,2022년 04월,5.18,5.18
경주,2022년 05월,5.05,5.05
경주,2022년 06월,4.05,4.05
경주,2022년 07월,3.93,3.93
경주,2022년 08월,5.25,5.25
경주,2022년 09월,6.76,6.76
경주,2022년 10월,8.29,8.29
경주,2022년 11월,5.59,5.59
경주,2022년 12월,3.95,3.95
경주,2023년 01월,4.1,4.1
경주,2023년 02월,4.83,4.83
경주,2023년 03월,5.58,5.58
경주,2023년 04월,5.86,5.86
경주,2023년 05월,6.41,6.41
경주,2023년 06월,5.1,5.1
경주,2023년 07월,3.39,3.39
경주,2023년 08월,3.68,3.68
경주,2023년 09월,4.21,4.21
경주,2023년 10월,5.89,5.89
경주,2023년 11월,4.0,4.0
경주,2023년 12월,2.89,2.89
경주,2024년 01월,2.44,2.44
경주,2024년 02월,3.22,3.22
경주,2024년 03월,3.62,3.62
경주,2024년 04월,3.65,3.65
경주,2024년 05월,4.78,4.78
경주,2024년 06월,3.55,3.55
경주,2024년 07월,3.33,3.33
경주,2024년 08월,3.67,3.67
경주,2024년 09월,4.07,4.07
경주,2024년 10월,4.65,4.65
경주,2024년 11월,3.89,3.89
경주,2024년 12월,2.07,2.07
경주,2025년 01월,2.33,2.33
경주,2025년 02월,2.15,2.15
경주,2025년 03월,2.83,2.83
경주,2025년 04월,3.19,3.19
경주,2025년 05월,2.7,2.7
경주,2025년 06월,2.22,2.22
경주,2025년 07월,2.13,2.13
경주,2025년 08월,2.47,2.47
경주,2025년 09월,2.45,2.45
경주,2025년 10월,3.52,3.52
경주,2025년 11월,3.27,3.27
경주,2025년 12월,2.12,2.12
경주,2026년 01월,1.76,1.76
경주,2026년 02월,2.36,2.36
경주,2026년 03월,2.14,2.14
경주,2026년 04월,2.44,2.44
경주,2026년 05월,2.67,2.67
경주,2026년 06월,1.84,1.84
경주,2026년 07월,1.79,1.79
경주,2026년 08월,1.85,1.85
계룡산,2016년 01월,4.22,4.22
계룡산,2016년 02월,3.5,3.5
계룡산,2016년 03월,5.81,5.81
계룡산,2016년 04월,5.51,5.51
계룡산,2016년 05월,6.2,6.2
계룡산,2016년 06월,4.76,4.76
계룡산,2016년 07월,5.4,5.4
계룡산,2016년 08월,6.07,6.07
계룡산,2016년 09월,5.99,5.99
계룡산,2016년 10월,8.98,8.98
계룡산,2016년 11월,5.75,5.75
계룡산,2016년 12월,2.05,2.05
계룡산,2017년 01월,1.99,1.99
계룡산,2017년 02월,4.29,4.29
계룡산,2017년 03월,6.81,6.81
계룡산,2017년 04월,7.37,7.37
계룡산,2017년 05월,8.17,8.17
계룡산,2017년 06월,6.13,6.13
계룡산,2017년 07월,5.24,5.24
계룡산,2017년 08월,6.74,6.74
계룡산,2017년 09월,7.58,7.58
계룡산,2017년 10월,14.38,14.38
계룡산,2017년 11월,8.63,8.63
계룡산,2017년 12월,4.0,4.0
계룡산,2018년 01월,4.75,4.75
계룡산,2018년 02월,4.19,4.19
계룡산,2018년 03월,8.13,8.13
계룡산,2018년 04월,6.74,6.74
계룡산,2018년 05월,9.95,9.95
계룡산,2018년 06월,8.66,8.66
계룡산,2018년 07월,6.75,6.75
계룡산,2018년 08월,5.07,5.07
계룡산,2018년 09월,8.83,8.83
계룡산,2018년 10월,15.66,15.66
계룡산,2018년 11월,12.98,12.98
계룡산,2018년 12월,5.1,5.1
계룡산,2019년 01월,4.67,4.67
계룡산,2019년 02월,5.49,5.49
계룡산,2019년 03월,7.34,7.34
계룡산,2019년 04월,4.99,4.99
계룡산,2019년 05월,7.17,7.17
계룡산,2019년 06월,6.25,6.25
계룡산,2019년 07월,7.74,7.74
계룡산,2019년 08월,7.53,7.53
계룡산,2019년 09월,6.61,6.61
계룡산,2019년 10월,13.15,13.15
계룡산,2019년 11월,6.02,6.02
계룡산,2019년 12월,3.17,3.17
계룡산,2020년 01월,4.26,4.26
계룡산,2020년 02월,4.32,4.32
계룡산,2020년 03월,5.08,5.08
계룡산,2020년 04월,5.27,5.27
계룡산,2020년 05월,4.88,4.88
계룡산,2020년 06월,3.93,3.93
계룡산,2020년 07월,4.43,4.43
계룡산,2020년 08월,9.93,9.93
계룡산,2020년 09월,9.41,9.41
계룡산,2020년 10월,10.2,10.2
계룡산,2020년 11월,3.97,3.97
계룡산,2020년 12월,5.72,5.72
계룡산,2021년 01월,9.11,9.11
계룡산,2021년 02월,6.64,6.64
계룡산,2021년 03월,8.06,8.06
계룡산,2021년 04월,7.33,7.33
계룡산,2021년 05월,9.06,9.06
계룡산,2021년 06월,8.31,8.31
계룡산,2021년 07월,7.74,7.74
계룡산,2021년 08월,7.54,7.54
계룡산,2021년 09월,8.09,8.09
계룡산,2021년 10월,13.26,13.26
계룡산,2021년 11월,7.86,7.86
계룡산,2021년 12월,4.36,4.36
계룡산,2022년 01월,2.77,2.77
계룡산,2022년 02월,2.67,2.67
계룡산,2022년 03월,3.44,3.44
계룡산,2022년 04월,4.53,4.53
계룡산,2022년 05월,4.56,4.56
계룡산,2022년 06월,3.96,3.96
계룡산,2022년 07월,3.85,3.85
계룡산,2022년 08월,4.36,4.36
계룡산,2022년 09월,4.47,4.47
계룡산,2022년 10월,4.68,4.68
계룡산,2022년 11월,3.09,3.09
계룡산,2022년 12월,2.29,2.29
계룡산,2023년 01월,2.09,2.09
계룡산,2023년 02월,2.77,2.77
계룡산,2023년 03월,4.12,4.12
계룡산,2023년 04월,3.84,3.84
계룡산,2023년 05월,3.94,3.94
계룡산,2023년 06월,3.67,3.67
계룡산,2023년 07월,4.37,4.37
계룡산,2023년 08월,3.88,3.88
계룡산,2023년 09월,3.41,3.41
계룡산,2023년 10월,5.3,5.3
계룡산,2023년 11월,3.37,3.37
계룡산,2023년 12월,2.77,2.77
계룡산,2024년 01월,2.14,2.14
계룡산,2024년 02월,2.61,2.61
계룡산,2024년 03월,3.43,3.43
계룡산,2024년 04월,3.98,3.98
계룡산,2024년 05월,3.47,3.47
계룡산,2024년 06월,2.93,2.93
계룡산,2024년 07월,3.09,3.09
계룡산,2024년 08월,2.79,2.79
계룡산,2024년 09월,3.05,3.05
계룡산,2024년 10월,3.78,3.78
계룡산,2024년 11월,2.93,2.93
계룡산,2024년 12월,1.88,1.88
계룡산,2025년 01월,2.64,2.64
계룡산,2025년 02월,2.39,2.39
계룡산,2025년 03월,2.49,2.49
계룡산,2025년 04월,2.97,2.97
계룡산,2025년 05월,3.19,3.19
계룡산,2025년 06월,3.86,3.86
계룡산,2025년 07월,3.53,3.53
계룡산,2025년 08월,3.42,3.42
계룡산,2025년 09월,3.02,3.02
계룡산,2025년 10월,3.87,3.87
계룡산,2025년 11월,3.81,3.81
계룡산,2025년 12월,2.13,2.13
계룡산,2026년 01월,2.38,2.38
계룡산,2026년 02월,2.38,2.38
계룡산,2026년 03월,2.88,2.88
계룡산,2026년 04월,3.28,3.28
계룡산,2026년 05월,3.0,3.0
계룡산,2026년 06월,2.61,2.61
계룡산,2026년 07월,3.69,3.69
계룡산,2026년 08월,2.74,2.74
금정산,2016년 02월,0.01,0.01
금정산,2016년 04월,0.03,0.03
금정산,2016년 08월,0.01,0.01
금정산,2016년 09월,0.01,0.01
금정산,2016년 10월,0.01,0.01
금정산,2017년 01월,0.01,0.01
금정산,2017년 02월,0.02,0.02
금정산,2017년 03월,0.18,0.18
금정산,2017년 06월,0.02,0.02
금정산,2017년 07월,0.02,0.02
금정산,2017년 09월,0.01,0.01
금정산,2017년 10월,0.03,0.03
금정산,2017년 11월,0.08,0.08
금정산,2017년 12월,0.01,0.01
금정산,2018년 02월,0.02,0.02
금정산,2018년 03월,0.09,0.09
금정산,2018년 04월,0.25,0.25
금정산,2018년 05월,0.04,0.04
금정산,2018년 06월,0.07,0.07
금정산,2018년 07월,0.03,0.03
금정산,2018년 08월,0.15,0.15
금정산,2018년 09월,0.08,0.08
금정산,2018년 10월,0.51,0.51
금정산,2018년 11월,0.28,0.28
금정산,2018년 12월,0.25,0.25
금정산,2019년 01월,0.1,0.1
금정산,2019년 02월,0.19,0.19
금정산,2019년 03월,0.24,0.24
금정산,2019년 04월,0.13,0.13
금정산,2019년 05월,0.09,0.09
금정산,2019년 06월,0.25,0.25
금정산,2019년 07월,0.49,0.49
금정산,2019년 08월,0.47,0.47
금정산,2019년 09월,0.4,0.4
금정산,2019년 10월,0.45,0.45
금정산,2019년 11월,0.47,0.47
금정산,2019년 12월,0.31,0.31
금정산,2020년 01월,0.45,0.45
금정산,2020년 02월,0.43,0.43
금정산,2020년 03월,0.6,0.6
금정산,2020년 04월,0.31,0.31
금정산,2020년 05월,0.23,0.23
금정산,2020년 06월,0.26,0.26
금정산,2020년 07월,0.26,0.26
금정산,2020년 08월,0.19,0.19
금정산,2020년 09월,0.15,0.15
금정산,2020년 10월,0.21,0.21
금정산,2020년 11월,0.3,0.3
금정산,2020년 12월,0.2,0.2
금정산,2021년 01월,0.05,0.05
금정산,2021년 02월,0.03,0.03
금정산,2021년 03월,0.25,0.25
금정산,2021년 04월,0.23,0.23
금정산,2021년 05월,0.24,0.24
금정산,2021년 06월,0.43,0.43
금정산,2021년 07월,0.19,0.19
금정산,2021년 08월,0.96,0.96
금정산,2021년 09월,0.91,0.91
금정산,2021년 10월,0.82,0.82
금정산,2021년 11월,0.6,0.6
금정산,2021년 12월,0.49,0.49
금정산,2022년 01월,0.31,0.31
금정산,2022년 02월,0.25,0.25
금정산,2022년 03월,0.16,0.16
금정산,2022년 04월,0.14,0.14
금정산,2022년 05월,0.12,0.12
금정산,2022년 06월,0.13,0.13
금정산,2022년 07월,0.11,0.11
금정산,2022년 08월,0.09,0.09
금정산,2022년 09월,0.1,0.1
금정산,2022년 10월,0.14,0.14
금정산,2022년 11월,0.12,0.12
금정산,2022년 12월,0.03,0.03
금정산,2023년 01월,0.06,0.06
금정산,2023년 02월,0.04,0.04
금정산,2023년 03월,0.08,0.08
금정산,2023년 04월,0.1,0.1
금정산,2023년 05월,0.36,0.36
금정산,2023년 06월,0.19,0.19
금정산,2023년 07월,0.44,0.44
금정산,2023년 08월,0.91,0.91
금정산,2023년 09월,0.3,0.3
금정산,2023년 10월,0.61,0.61
금정산,2023년 11월,0.38,0.38
금정산,2023년 12월,0.81,0.81
금정산,2024년 01월,0.89,0.89
금정산,2024년 02월,0.69,0.69
금정산,2024년 03월,0.73,0.73
금정산,2024년 04월,0.57,0.57
금정산,2024년 05월,0.43,0.43
금정산,2024년 06월,2.52,2.52
금정산,2024년 07월,1.29,1.29
금정산,2024년 08월,2.65,2.65
금정산,2024년 09월,2.02,2.02
금정산,2024년 10월,1.93,1.93
금정산,2024년 11월,2.05,2.05
금정산,2024년 12월,2.7,2.7
금정산,2025년 01월,2.18,2.18
금정산,2025년 02월,2.12,2.12
금정산,2025년 03월,1.96,1.96
금정산,2025년 04월,1.57,1.57
금정산,2025년 05월,2.09,2.09
금정산,2025년 06월,2.87,2.87
금정산,2025년 07월,3.52,3.52
금정산,2025년 08월,1.91,1.91
금정산,2025년 09월,3.29,3.29
금정산,2025년 10월,9.83,9.83
금정산,2025년 11월,42.68,42.68
금정산,2025년 12월,13.59,13.59
금정산,2026년 01월,7.14,7.14
금정산,2026년 02월,9.73,9.73
금정산,2026년 03월,15.8,15.8
금정산,2026년 04월,8.7,8.7
금정산,2026년 05월,8.11,8.11
금정산,2026년 06월,4.75,4.75
금정산,2026년 07월,4.18,4.18
금정산,2026년 08월,3.51,3.51
내장산,2016년 01월,2.28,4.94
내장산,2016년 02월,1.86,4.04
내장산,2016년 03월,2.19,4.76
내장산,2016년 04월,2.48,5.37
내장산,2016년 05월,4.03,8.75
내장산,2016년 06월,2.82,6.12
내장산,2016년 07월,2.83,6.15
내장산,2016년 08월,2.75,5.96
내장산,2016년 09월,3.5,7.59
내장산,2016년 10월,6.31,13.7
내장산,2016년 11월,7.35,15.94
내장산,2016년 12월,1.03,2.24
내장산,2017년 01월,1.01,2.18
내장산,2017년 02월,2.04,4.43
내장산,2017년 03월,2.86,6.22
내장산,2017년 04월,3.36,7.29
내장산,2017년 05월,4.09,8.87
내장산,2017년 06월,3.41,7.39
내장산,2017년 07월,3.48,7.56
내장산,2017년 08월,5.0,10.85
내장산,2017년 09월,6.82,14.79
내장산,2017년 10월,16.87,36.62
내장산,2017년 11월,9.24,20.05
내장산,2017년 12월,2.03,4.4
내장산,2018년 01월,3.49,7.58
내장산,2018년 02월,2.36,5.12
내장산,2018년 03월,2.89,6.28
내장산,2018년 04월,3.14,6.81
내장산,2018년 05월,3.96,8.59
내장산,2018년 06월,3.2,6.95
내장산,2018년 07월,3.6,7.82
내장산,2018년 08월,4.3,9.33
내장산,2018년 09월,4.15,9.01
내장산,2018년 10월,9.67,20.98
내장산,2018년 11월,9.48,20.57
내장산,2018년 12월,2.28,4.94
내장산,2019년 01월,1.89,4.1
내장산,2019년 02월,2.31,5.02
내장산,2019년 03월,1.86,4.03
내장산,2019년 04월,2.77,6.0
내장산,2019년 05월,3.8,8.24
내장산,2019년 06월,3.23,7.02
내장산,2019년 07월,3.69,8.01
내장산,2019년 08월,5.63,12.22
내장산,2019년 09월,6.74,14.63
내장산,2019년 10월,21.24,46.09
내장산,2019년 11월,11.37,24.68
내장산,2019년 12월,1.97,4.28
내장산,2020년 01월,1.52,3.29
내장산,2020년 02월,1.41,3.06
내장산,2020년 03월,1.83,3.96
내장산,2020년 04월,2.16,4.7
내장산,2020년 05월,2.69,5.83
내장산,2020년 06월,2.95,6.41
내장산,2020년 07월,3.94,8.56
내장산,2020년 08월,5.25,11.4
내장산,2020년 09월,6.17,13.39
내장산,2020년 10월,16.32,35.43
내장산,2020년 11월,10.29,22.32
내장산,2020년 12월,2.85,6.19
내장산,2021년 01월,5.71,12.4
내장산,2021년 02월,3.61,7.84
내장산,2021년 03월,3.98,8.63
내장산,2021년 04월,2.45,5.32
내장산,2021년 05월,3.21,6.96
내장산,2021년 06월,4.06,8.82
내장산,2021년 07월,4.65,10.09
내장산,2021년 08월,6.01,13.05
내장산,2021년 09월,10.11,21.95
내장산,2021년 10월,30.25,65.64
내장산,2021년 11월,28.42,61.67
내장산,2021년 12월,2.33,5.05
내장산,2022년 01월,2.93,6.35
내장산,2022년 02월,3.02,6.55
내장산,2022년 03월,2.85,6.19
내장산,2022년 04월,4.24,9.2
내장산,2022년 05월,4.1,8.89
내장산,2022년 06월,3.62,7.85
내장산,2022년 07월,4.32,9.37
내장산,2022년 08월,6.09,13.22
내장산,2022년 09월,9.47,20.54
내장산,2022년 10월,26.91,58.4
내장산,2022년 11월,13.88,30.13
내장산,2022년 12월,1.94,4.21
내장산,2023년 01월,1.66,3.61
내장산,2023년 02월,1.67,3.62
내장산,2023년 03월,2.89,6.27
내장산,2023년 04월,3.34,7.25
내장산,2023년 05월,3.59,7.79
내장산,2023년 06월,3.52,7.64
내장산,2023년 07월,3.34,7.25
내장산,2023년 08월,4.8,10.42
내장산,2023년 09월,5.58,12.1
내장산,2023년 10월,24.18,52.47
내장산,2023년 11월,15.26,33.11
내장산,2023년 12월,1.88,4.08
내장산,2024년 01월,1.54,3.34
내장산,2024년 02월,1.56,3.39
내장산,2024년 03월,1.98,4.29
내장산,2024년 04월,2.66,5.77
내장산,2024년 05월,3.19,6.93
내장산,2024년 06월,2.88,6.25
내장산,2024년 07월,2.99,6.48
내장산,2024년 08월,3.98,8.63
내장산,2024년 09월,5.73,12.43
내장산,2024년 10월,13.06,28.34
내장산,2024년 11월,12.83,27.84
내장산,2024년 12월,2.03,4.41
내장산,2025년 01월,2.31,5.01
내장산,2025년 02월,1.74,3.78
내장산,2025년 03월,1.49,3.24
내장산,2025년 04월,2.86,6.21
내장산,2025년 05월,3.31,7.19
내장산,2025년 06월,2.96,6.42
내장산,2025년 07월,3.97,8.62
내장산,2025년 08월,9.26,20.1
내장산,2025년 09월,8.09,17.56
내장산,2025년 10월,16.41,35.61
내장산,2025년 11월,28.37,61.56
내장산,2025년 12월,2.16,4.7
내장산,2026년 01월,2.01,4.37
내장산,2026년 02월,2.22,4.82
내장산,2026년 03월,2.37,5.14
내장산,2026년 04월,2.13,4.62
내장산,2026년 05월,1.96,4.26
내장산,2026년 06월,1.5,3.25
내장산,2026년 07월,1.91,4.14
내장산,2026년 08월,2.08,4.52
다도해해상,2016년 01월,3.53,3.53
다도해해상,2016년 02월,3.63,3.63
다도해해상,2016년 03월,5.24,5.24
다도해해상,2016년 04월,6.07,6.07
다도해해상,2016년 05월,6.24,6.24
다도해해상,2016년 06월,6.37,6.37
다도해해상,2016년 07월,8.1,8.1
다도해해상,2016년 08월,5.94,5.94
다도해해상,2016년 09월,2.97,2.97
다도해해상,2016년 10월,2.22,2.22
다도해해상,2016년 11월,1.81,1.81
다도해해상,2016년 12월,1.42,1.42
다도해해상,2017년 01월,1.14,1.14
다도해해상,2017년 02월,1.37,1.37
다도해해상,2017년 03월,2.94,2.94
다도해해상,2017년 04월,3.82,3.82
다도해해상,2017년 05월,5.07,5.07
다도해해상,2017년 06월,6.08,6.08
다도해해상,2017년 07월,6.67,6.67
다도해해상,2017년 08월,6.57,6.57
다도해해상,2017년 09월,5.81,5.81
다도해해상,2017년 10월,5.47,5.47
다도해해상,2017년 11월,3.5,3.5
다도해해상,2017년 12월,3.16,3.16
다도해해상,2018년 01월,2.75,2.75
다도해해상,2018년 02월,2.39,2.39
다도해해상,2018년 03월,4.12,4.12
다도해해상,2018년 04월,4.78,4.78
다도해해상,2018년 05월,6.3,6.3
다도해해상,2018년 06월,4.86,4.86
다도해해상,2018년 07월,6.31,6.31
다도해해상,2018년 08월,5.0,5.0
다도해해상,2018년 09월,3.02,3.02
다도해해상,2018년 10월,3.24,3.24
다도해해상,2018년 11월,3.09,3.09
다도해해상,2018년 12월,2.56,2.56
다도해해상,2019년 01월,5.21,5.21
다도해해상,2019년 02월,2.37,2.37
다도해해상,2019년 03월,2.31,2.31
다도해해상,2019년 04월,2.73,2.73
다도해해상,2019년 05월,3.76,3.76
다도해해상,2019년 06월,4.69,4.69
다도해해상,2019년 07월,5.96,5.96
다도해해상,2019년 08월,5.81,5.81
다도해해상,2019년 09월,3.99,3.99
다도해해상,2019년 10월,2.99,2.99
다도해해상,2019년 11월,1.85,1.85
다도해해상,2019년 12월,2.67,2.67
다도해해상,2020년 01월,2.26,2.26
다도해해상,2020년 02월,2.24,2.24
다도해해상,2020년 03월,2.55,2.55
다도해해상,2020년 04월,5.02,5.02
다도해해상,2020년 05월,5.49,5.49
다도해해상,2020년 06월,5.81,5.81
다도해해상,2020년 07월,9.12,9.12
다도해해상,2020년 08월,7.88,7.88
다도해해상,2020년 09월,10.21,10.21
다도해해상,2020년 10월,5.7,5.7
다도해해상,2020년 11월,4.74,4.74
다도해해상,2020년 12월,5.26,5.26
다도해해상,2021년 01월,4.02,4.02
다도해해상,2021년 02월,6.18,6.18
다도해해상,2021년 03월,5.75,5.75
다도해해상,2021년 04월,6.51,6.51
다도해해상,2021년 05월,7.48,7.48
다도해해상,2021년 06월,8.05,8.05
다도해해상,2021년 07월,8.4,8.4
다도해해상,2021년 08월,8.2,8.2
다도해해상,2021년 09월,6.54,6.54
다도해해상,2021년 10월,6.69,6.69
다도해해상,2021년 11월,5.29,5.29
다도해해상,2021년 12월,4.08,4.08
다도해해상,2022년 01월,2.99,2.99
다도해해상,2022년 02월,3.34,3.34
다도해해상,2022년 03월,3.28,3.28
다도해해상,2022년 04월,3.46,3.46
다도해해상,2022년 05월,6.52,6.52
다도해해상,2022년 06월,7.88,7.88
다도해해상,2022년 07월,10.2,10.2
다도해해상,2022년 08월,8.39,8.39
다도해해상,2022년 09월,5.36,5.36
다도해해상,2022년 10월,7.82,7.82
다도해해상,2022년 11월,4.56,4.56
다도해해상,2022년 12월,3.13,3.13
다도해해상,2023년 01월,3.5,3.5
다도해해상,2023년 02월,3.63,3.63
다도해해상,2023년 03월,4.6,4.6
다도해해상,2023년 04월,6.08,6.08
다도해해상,2023년 05월,6.1,6.1
다도해해상,2023년 06월,6.62,6.62
다도해해상,2023년 07월,5.78,5.78
다도해해상,2023년 08월,6.15,6.15
다도해해상,2023년 09월,4.79,4.79
다도해해상,2023년 10월,4.67,4.67
다도해해상,2023년 11월,3.83,3.83
