공원,연월,검색관심도_원값,검색관심도_환산
가야산,2016년 01월,2.5,4.02
가야산,2016년 02월,2.15,3.46
가야산,2016년 03월,2.95,4.75
가야산,2016년 04월,3.45,5.56
가야산,2016년 05월,3.68,5.92
가야산,2016년 06월,2.86,4.6
가야산,2016년 07월,4.89,7.87
가야산,2016년 08월,4.64,7.47
가야산,2016년 09월,3.66,5.89
가야산,2016년 10월,5.6,9.01
가야산,2016년 11월,3.57,5.75
가야산,2016년 12월,2.25,3.62
가야산,2017년 01월,3.06,4.92
가야산,2017년 02월,3.58,5.76
가야산,2017년 03월,3.83,6.16
가야산,2017년 04월,4.77,7.67
가야산,2017년 05월,4.54,7.3
가야산,2017년 06월,4.38,7.04
가야산,2017년 07월,5.79,9.31
가야산,2017년 08월,5.83,9.37
가야산,2017년 09월,5.44,8.75
가야산,2017년 10월,8.92,14.35
가야산,2017년 11월,4.31,6.94
가야산,2017년 12월,8.81,14.17
가야산,2018년 01월,3.58,5.76
가야산,2018년 02월,2.01,3.23
가야산,2018년 03월,2.92,4.7
가야산,2018년 04월,3.04,4.89
가야산,2018년 05월,4.13,6.64
가야산,2018년 06월,3.95,6.36
가야산,2018년 07월,5.63,9.06
가야산,2018년 08월,5.27,8.48
가야산,2018년 09월,5.31,8.54
가야산,2018년 10월,9.24,14.87
가야산,2018년 11월,6.41,10.32
가야산,2018년 12월,4.35,6.99
가야산,2019년 01월,4.06,6.53
가야산,2019년 02월,2.59,4.17
가야산,2019년 03월,2.85,4.59
가야산,2019년 04월,4.07,6.54
가야산,2019년 05월,5.43,8.74
가야산,2019년 06월,5.86,9.43
가야산,2019년 07월,8.45,13.6
가야산,2019년 08월,6.56,10.56
가야산,2019년 09월,5.59,8.99
가야산,2019년 10월,10.57,17.0
가야산,2019년 11월,5.55,8.93
가야산,2019년 12월,3.23,5.2
가야산,2020년 01월,3.81,6.13
가야산,2020년 02월,2.28,3.67
가야산,2020년 03월,3.08,4.95
가야산,2020년 04월,3.19,5.14
