대륙,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
북아메리카,471,507,536,1334,251,2006,5105
아프리카,183,134,716,502,83,1188,2806
아시아,77,104,325,403,113,672,1694
오세아니아,164,127,185,380,74,737,1667
유럽,89,161,111,424,60,705,1550
남아메리카,34,44,143,265,30,279,795
