대륙,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
북아메리카,420,503,532,1419,279,2117,5270
아프리카,182,137,733,547,81,1208,2888
아시아,83,98,353,409,109,687,1739
오세아니아,166,131,191,379,78,732,1677
유럽,85,151,111,425,64,744,1580
남아메리카,34,48,147,260,28,272,789
